Station,Year,Month,AVG_Monthly_Min_Temp,AVG_Monthly_Max_Temp,AVG_Monthly_Rainfall,AVG_Monthly_Sunshine,AVG_Monthly_Humidity
Dhaka,1967,4,21.5,32.5,6.0,8.6,62.0
Dhaka,1967,5,24.2,32.2,7.0,8.9,76.0
Dhaka,1967,6,25.3,31.5,8.0,6.9,81.0
Dhaka,1967,7,25.8,30.6,7.0,5.9,82.0
Dhaka,1967,8,25.5,30.2,15.0,5.5,83.0
Dhaka,1967,9,24.9,29.7,9.0,4.9,84.0
Dhaka,1967,10,22.5,30.1,3.0,8.2,75.0
Dhaka,1967,11,15.7,27.8,0.0,9.9,67.0
Dhaka,1967,12,13.3,25.9,0.0,9.0,69.0
Jessore,1967,1,10.7,24.7,0.0,6.6,68.0
Jessore,1967,2,13.4,29.1,0.0,6.3,61.0
Jessore,1967,3,17.9,30.7,2.0,6.3,65.0
Jessore,1967,4,20.4,32.8,2.0,6.3,60.0
Jessore,1967,5,24.7,33.4,4.0,6.4,68.0
Jessore,1967,6,25.1,32.2,6.0,7.3,80.0
Jessore,1967,7,25.2,31.0,8.0,5.8,83.0
Jessore,1967,8,25.2,30.2,10.0,5.3,85.0
Jessore,1967,9,25.1,30.7,7.0,5.3,85.0
Jessore,1967,10,22.3,30.9,2.0,9.1,75.0
Jessore,1967,11,14.6,28.3,0.0,10.1,66.0
Jessore,1967,12,13.3,26.4,0.0,6.6,69.0
Sylhet,1967,1,13.8,25.3,1.0,8.0,69.0
Sylhet,1967,2,15.7,26.9,2.0,7.9,66.0
Sylhet,1967,3,17.6,27.8,4.0,6.4,69.0
Sylhet,1967,4,19.3,29.7,10.0,7.2,67.0
Sylhet,1967,5,22.2,29.9,11.0,6.2,77.0
Sylhet,1967,6,23.5,29.4,34.0,4.9,85.0
Sylhet,1967,7,24.7,30.2,16.0,4.6,84.0
Sylhet,1967,8,24.7,31.3,12.0,5.7,82.0
Sylhet,1967,9,24.0,29.7,19.0,4.1,85.0
Sylhet,1967,10,21.2,29.5,3.0,8.2,80.0
Sylhet,1967,11,17.1,28.3,0.0,10.2,74.0
